<NUMBER OF NODES> 	10538
<NUMBER OF LINKS> 	28178
<END OF METADATA>		


~ 	Tail 	Head 	: 	Volume 	Cost 	; 
	1 	10536 	: 	0 	inf 	; 
	1 	10538 	: 	935.933 	3.61809 	; 
	2 	3 	: 	0 	inf 	; 
	2 	24 	: 	426.75 	4.75354 	; 
	3 	2 	: 	426.75 	2.35808 	; 
	3 	3180 	: 	0 	inf 	; 
	4 	5 	: 	0 	inf 	; 
	4 	9 	: 	615.335 	16.8529 	; 
	5 	4 	: 	615.335 	4.10341 	; 
	5 	10528 	: 	0 	inf 	; 
	6 	7 	: 	1041.65 	4.10532 	; 
	6 	10491 	: 	0 	inf 	; 
	7 	6 	: 	0 	inf 	; 
	7 	3180 	: 	1041.65 	9.64997 	; 
	8 	9 	: 	0 	inf 	; 
	8 	44 	: 	0 	inf 	; 
	8 	4507 	: 	3315.47 	11.8762 	; 
	9 	4 	: 	0 	inf 	; 
	9 	8 	: 	3183.47 	12.0991 	; 
	9 	10 	: 	0 	inf 	; 
	10 	9 	: 	2568.13 	11.2714 	; 
	10 	11 	: 	0 	inf 	; 
	11 	10 	: 	2568.13 	2.86153 	; 
	11 	12 	: 	0 	inf 	; 
	12 	11 	: 	2568.13 	5.87727 	; 
	12 	13 	: 	0 	inf 	; 
	13 	12 	: 	2568.13 	1.64242 	; 
	13 	14 	: 	0 	inf 	; 
	14 	13 	: 	2568.13 	10.0316 	; 
	14 	15 	: 	0 	inf 	; 
	14 	10528 	: 	277.2 	16.2838 	; 
	15 	14 	: 	2845.33 	1.5766 	; 
	15 	16 	: 	0 	inf 	; 
	16 	15 	: 	2845.33 	8.97764 	; 
	16 	17 	: 	0 	inf 	; 
	16 	32 	: 	2140.9 	14.2763 	; 
	17 	16 	: 	4986.23 	2.04142 	; 
	17 	547 	: 	0 	inf 	; 
	18 	19 	: 	5591.48 	5.93579 	; 
	18 	10490 	: 	0 	inf 	; 
	19 	18 	: 	0 	inf 	; 
	19 	20 	: 	5591.48 	1.43958 	; 
	20 	19 	: 	0 	inf 	; 
	20 	21 	: 	5591.48 	7.49469 	; 
	21 	20 	: 	0 	inf 	; 
