startnode,endnode,category,capacity
1,4,2,600
1,93,1,1000
1,64,2,1500
2,4,2,600
2,94,1,10000
3,10,2,600
3,6,2,6000
3,4,2,6000
4,3,2,6000
4,1,2,600
4,2,2,600
5,86,1,10000
5,85,1,8000
5,11,2,4000
5,6,2,6000
5,17,2,6000
5,8,2,6000
6,3,2,6000
6,12,2,1000
6,5,2,6000
7,11,2,1000
7,85,1,10000
7,14,1,8000
7,61,2,1000
8,5,2,6000
8,10,2,1000
8,86,2,6000
8,9,2,6000
9,8,2,6000
9,94,1,10000
9,92,1,10000
10,8,2,1000
10,3,2,600
10,94,2,600
11,12,2,6000
11,7,2,1000
11,5,2,4000
12,13,2,1000
12,6,2,1000
12,11,2,6000
13,14,1,8000
13,93,1,8000
13,12,2,1000
14,7,1,8000
14,13,1,8000
14,62,2,1500
15,79,1,6000
15,18,1,8000
15,86,1,6000
16,78,1,10000
16,85,1,10000
16,17,2,6000
16,44,2,6000
17,16,2,6000
17,5,2,6000
17,86,2,6000
17,18,2,6000
18,78,1,8000
18,17,2,6000
18,15,1,8000
19,163,2,3000
19,20,2,6000
20,19,2,6000
20,77,1,8000
20,79,1,8000
21,162,2,7500
21,80,1,6000
22,25,2,1000
22,71,1,4000
23,179,2,2000
23,174,2,2000
24,107,1,5000
24,25,2,9000
25,26,2,9000
25,24,2,9000
25,22,2,1000
26,71,2,6000
26,179,2,6000
26,25,2,9000
27,29,2,2000
27,28,2,1000
27,31,2,6000
28,27,2,1000
28,75,2,4000
28,69,1,10000
28,76,1,8000
29,70,1,10000
29,30,1,10000
29,27,2,2000
30,29,1,10000
30,69,1,10000
31,27,2,6000
31,76,1,8000
31,70,1,10000
32,36,2,6000
32,40,2,4000
33,57,2,4000
34,36,2,6000
34,43,2,6000
34,39,1,8000
34,75,1,8000
34,35,2,6000
35,97,2,9000
35,78,2,600
35,34,2,6000
35,194,2,2000
36,38,2,4000
36,37,2,2000
36,32,2,6000
36,34,2,6000
37,68,1,8000
37,75,1,8000
37,36,2,2000
38,43,2,4000
38,40,2,4000
38,36,2,4000
38,41,2,6000
39,97,1,8000
39,34,1,8000
39,44,2,1000
39,43,2,4000
40,32,2,4000
40,38,2,4000
40,45,2,6000
41,42,2,9000
41,38,2,6000
41,45,2,9000
41,48,2,1500
42,47,2,6000
42,41,2,9000
42,44,2,9000
42,43,2,6000
43,42,2,6000
43,39,2,4000
43,34,2,6000
43,38,2,4000
44,42,2,9000
44,39,2,1000
44,16,2,6000
44,46,2,1000
45,40,2,6000
45,41,2,9000
45,48,2,6000
46,44,2,1000
46,85,1,8000
46,47,1,8000
47,46,1,8000
47,84,1,8000
47,61,2,1500
47,42,2,6000
48,84,2,1500
48,41,2,1500
48,45,2,6000
49,52,2,6000
49,60,2,6000
49,51,2,1500
50,51,2,1500
50,52,2,6000
50,64,2,3000
51,49,2,1500
51,53,2,1500
51,50,2,1500
51,63,2,1500
52,49,2,6000
52,50,2,6000
53,54,2,1500
53,55,2,2000
53,51,2,1500
54,59,2,600
54,58,2,3000
54,55,2,1500
54,53,2,1500
55,62,2,1500
55,54,2,1500
55,53,2,2000
56,57,2,1000
56,59,2,600
56,61,2,1000
57,60,2,3000
57,33,2,4000
57,56,2,1000
