id,X,Y
1,-118.2810218711,33.973915574
2,-118.1684139909,33.9678370548
3,-118.237711148,33.9891790912
4,-118.2345461336,33.9747444293
5,-118.2414591913,34.0235635574
6,-118.2390437856,34.0039564164
7,-118.2780234364,34.0208022623
8,-118.2078933809,34.013760553
9,-118.1727450632,34.0042326048
10,-118.2037288883,33.9892480894
11,-118.2567012343,34.0112751043
12,-118.2565346546,34.0038873692
13,-118.2811884508,34.0037147509
14,-118.2809802262,34.011102501
15,-118.2246762861,34.0524137167
16,-118.2599911834,34.0517236361
17,-118.2383358218,34.0372996656
18,-118.2375029233,34.0540698873
19,-118.2060193592,34.0658691661
20,-118.2149313734,34.0602112374
21,-118.1614592883,34.0748382788
22,-118.1557955783,34.135803056
23,-118.1016571744,34.1358719958
24,-118.1472167235,34.1277022377
25,-118.1472167235,34.1356307062
26,-118.1476331728,34.1456264108
27,-118.2549937923,34.1239791021
28,-118.2660296977,34.1126360989
29,-118.2549937923,34.1563101666
30,-118.2753165162,34.1541390611
31,-118.2443326912,34.1133255584
32,-118.3764303968,34.0902215452
33,-118.3760972374,34.0341937051
34,-118.3061337615,34.091049265
35,-118.2632394877,34.0777357745
36,-118.3390332532,34.0908423358
37,-118.3355350794,34.1119465088
38,-118.3383669343,34.075942104
39,-118.2813966754,34.0767699634
40,-118.3765136866,34.075942104
41,-118.3388666735,34.0621432555
42,-118.3093820658,34.0615912548
43,-118.3092154861,34.076218058
44,-118.2840619507,34.0618672556
45,-118.3718494549,34.0640752296
46,-118.2838537261,34.0372306455
47,-118.3087573919,34.0368165237
48,-118.3375756807,34.047375999
49,-118.3708916216,33.9878668951
50,-118.3307459129,33.9743300027
51,-118.3310790723,33.9888337335
52,-118.369558984,33.9638305204
53,-118.3310790723,34.0035421322
54,-118.3353268547,34.0108608558
55,-118.3229999566,34.0108608558
56,-118.3349936953,34.0255654403
57,-118.3722242593,34.0263937918
58,-118.3519015353,34.0211474291
59,-118.3347438258,34.0212164623
